,iso,name
0,CHN,China
1,TWN,Taipei and environs
2,USA,US
3,JPN,Japan
4,THA,Thailand
5,KOR,"Korea, South"
6,SGP,Singapore
7,PHL,Philippines
8,MYS,Malaysia
9,VNM,Vietnam
10,AUS,Australia
11,MEX,Mexico
12,BRA,Brazil
13,COL,Colombia
14,FRA,France
15,NPL,Nepal
16,CAN,Canada
17,KHM,Cambodia
18,LKA,Sri Lanka
19,CIV,Cote d'Ivoire
20,DEU,Germany
21,FIN,Finland
22,ARE,United Arab Emirates
23,IND,India
24,ITA,Italy
25,GBR,United Kingdom
26,RUS,Russia
27,SWE,Sweden
28,ESP,Spain
29,BEL,Belgium
30,Others,Others
31,EGY,Egypt
32,IRN,Iran
33,ISR,Israel
34,LBN,Lebanon
35,IRQ,Iraq
36,OMN,Oman
37,AFG,Afghanistan
38,BHR,Bahrain
39,KWT,Kuwait
40,AUT,Austria
41,DZA,Algeria
42,HRV,Croatia
43,CHE,Switzerland
44,PAK,Pakistan
45,GEO,Georgia
46,GRC,Greece
47,MKD,North Macedonia
48,NOR,Norway
49,ROU,Romania
50,DNK,Denmark
51,EST,Estonia
52,NLD,Netherlands
53,SMR,San Marino
54,AZE,Azerbaijan
55,BLR,Belarus
56,ISL,Iceland
57,LTU,Lithuania
58,NZL,New Zealand
59,NGA,Nigeria
60,IRL,Ireland
61,LUX,Luxembourg
62,MCO,Monaco
63,QAT,Qatar
64,ECU,Ecuador
65,CZE,Czechia
66,ARM,Armenia
67,DOM,Dominican Republic
68,IDN,Indonesia
69,PRT,Portugal
70,AND,Andorra
71,LVA,Latvia
72,MAR,Morocco
73,SAU,Saudi Arabia
74,SEN,Senegal
75,ARG,Argentina
76,CHL,Chile
77,JOR,Jordan
78,UKR,Ukraine
79,BLM,Saint Barthelemy
80,HUN,Hungary
81,FRO,Faroe Islands
82,GIB,Gibraltar
83,LIE,Liechtenstein
84,POL,Poland
85,TUN,Tunisia
86,PSE,West Bank and Gaza
87,BIH,Bosnia and Herzegovina
88,SVN,Slovenia
89,ZAF,South Africa
90,BTN,Bhutan
91,CMR,Cameroon
92,CRI,Costa Rica
93,PER,Peru
94,SRB,Serbia
95,SVK,Slovakia
96,TGO,Togo
97,VAT,Holy See
98,GUF,French Guiana
99,MLT,Malta
100,MTQ,Martinique
101,BGR,Bulgaria
102,MDV,Maldives
103,BGD,Bangladesh
104,MDA,Moldova
105,PRY,Paraguay
106,ALB,Albania
107,CYP,Cyprus
108,BRN,Brunei
109,MAC,Macao SAR
110,MAF,Saint Martin
111,BFA,Burkina Faso
112,GGY-JEY,Channel Islands
113,MNG,Mongolia
114,PAN,Panama
115,cruise,Cruise Ship
116,TWN,Taiwan*
117,BOL,Bolivia
118,HND,Honduras
119,COD,Congo (Kinshasa)
120,JAM,Jamaica
121,REU,Reunion
122,TUR,Turkey
123,CUB,Cuba
124,GUY,Guyana
125,KAZ,Kazakhstan
126,CYM,Cayman Islands
127,GLP,Guadeloupe
128,ETH,Ethiopia
129,SDN,Sudan
130,GIN,Guinea
131,ATG,Antigua and Barbuda
132,ABW,Aruba
133,KEN,Kenya
134,URY,Uruguay
135,GHA,Ghana
136,JEY,Jersey
137,NAM,Namibia
138,SYC,Seychelles
139,TTO,Trinidad and Tobago
140,VEN,Venezuela
141,CUW,Curacao
142,SWZ,Eswatini
143,GAB,Gabon
144,GTM,Guatemala
145,GGY,Guernsey
146,MRT,Mauritania
147,RWA,Rwanda
148,LCA,Saint Lucia
149,VCT,Saint Vincent and the Grenadines
150,SUR,Suriname
151,RKS,Kosovo
152,CAF,Central African Republic
153,COG,Congo (Brazzaville)
154,GNQ,Equatorial Guinea
155,UZB,Uzbekistan
156,GUM,Guam
157,PRI,Puerto Rico
158,BEN,Benin
159,GRL,Greenland
160,LBR,Liberia
161,MYT,Mayotte
162,SOM,Somalia
163,TZA,Tanzania
164,BHS,Bahamas
165,BRB,Barbados
166,MNE,Montenegro
167,GMB,Gambia
168,KGZ,Kyrgyzstan
169,MUS,Mauritius
170,ZMB,Zambia
171,DJI,Djibouti
172,TCD,Chad
173,SLV,El Salvador
174,FJI,Fiji
175,NIC,Nicaragua
176,MDG,Madagascar
177,HTI,Haiti
178,AGO,Angola
179,CPV,Cabo Verde
180,NER,Niger
181,PNG,Papua New Guinea
182,ZWE,Zimbabwe
183,TLS,Timor-Leste
184,ERI,Eritrea
185,UGA,Uganda
186,DMA,Dominica
187,GRD,Grenada
188,MOZ,Mozambique
189,SYR,Syria
190,BLZ,Belize
191,LAO,Laos
192,LBY,Libya
193,NA-SHIP-DP,Diamond Princess
194,GNB,Guinea-Bissau
195,MLI,Mali
196,KNA,Saint Kitts and Nevis
197,BWA,Botswana
198,BDI,Burundi
199,SLE,Sierra Leone
200,MMR,Burma
201,MWI,Malawi
202,SSD,South Sudan
203,ESH,Western Sahara
204,STP,Sao Tome and Principe
205,NA-SHIP-MSZ,MS Zaandam
206,YEM,Yemen
207,COM,Comoros
208,TJK,Tajikistan
209,LSO,Lesotho
210,SLB,Solomon Islands
211,MHL,Marshall Islands
212,VUT,Vanuatu
213,WSM,Samoa
214,KIR,Kiribati
215,PLW,Palau
216,TON,Tonga
217,NRU,Nauru
218,TUV,Tuvalu
